specialty,community,clinic_site,frequency,group,point_of_origin,consultant
Nephrology,Vinton,Virginia Gay Hospital,1/MO,MercyCare Internists Assoc of IA & Nephrology,Cedar Rapids,"Anwar Ahmed, MD"
Orthopaedic Surgery,Vinton,Virginia Gay Hospital,2/MO,Cedar Valley Med Spec - OrthoAgility Center,Cedar Falls,"Benjamin Lee Torrez, DO"
Otolaryngology,Vinton,Virginia Gay Hospital,2/MO,"ENT Medical Services, PC",Iowa City,"Elyse Katharine Hanly, MD"
Urology,Vinton,Virginia Gay Hospital,2/MO,PCI Urology Clinic,Cedar Rapids,"Steven R Mindrup, MD"
Urology,Vinton,Virginia Gay Hospital,2/MO,PCI Urology Clinic,Cedar Rapids,"Thomas D Richardson, MD"
Urology,Vinton,Virginia Gay Hospital,2/MO,PCI Urology Clinic,Cedar Rapids,"Jonathan M Rippentrop, MD"
General Surgery,Washington,Washington County Hospital & Clinics,1/WK,Washington County Hospital & Clinics,Washington,"Benjamin Joseph Green, DO"
Obstetrics & Gynecology,Washington,Washington County Hospital & Clinics,1/MO,UIHC - Dept of Obstetrics/Gynecology,Iowa City,"Laura Lorraine Steers, MD"
Obstetrics & Gynecology,Washington,Washington County Hospital & Clinics,1/MO,UIHC - Dept of Obstetrics/Gynecology,Iowa City," Corbin Anne Weaver, MD"
Ophthalmology,Washington,Washington County Hospital & Clinics,2/MO,Eye Physicians & Surgeons LLP - Iowa City,Iowa City,"Christopher Edward Watts, MD"
Orthopaedic Surgery,Washington,Washington County Hospital & Clinics,1/WK,Steindler Orthopedic Clinic,Iowa City,"Peter B Maurus, MD"
Orthopaedic Surgery,Washington,Washington County Hospital & Clinics,1/WK,Steindler Orthopedic Clinic,Iowa City,"Brent A Overton, MD"
Orthopaedic Surgery,Washington,Washington County Hospital & Clinics,1/WK,Steindler Orthopedic Clinic,Iowa City,"Brian Philip David Wills, MD"
Otolaryngology,Washington,Washington County Hospital & Clinics,1/WK,"ENT Medical Services, PC",Iowa City,"Michael James Reed, MD"
Pulmonary Disease,Washington,Washington County Hospital & Clinics,1/MO,Washington County Hospital & Clinics,Washington,"Andrew Randolph Ashby, MD"
Rheumatology,Washington,Washington County Hospital & Clinics,1/WK,UnityPoint Trinity Regional Health Syste,"Rock Island, IL","Michael Francis Miniter, MD"
Urology,Washington,Washington County Hospital & Clinics,1/MO,PCI Urology,Iowa City,"Margaret Ekroth, MD"
Urology,Washington,Washington County Hospital & Clinics,2/MO,UIHC - Dept of Urology,Iowa City,"Moshe Wald, MD"
Electrophysiology Clinical Cardiac,Waterloo,MercyOne Clinic Cardiology - Waterloo,1/MO,Iowa City VA Health Care System,Iowa City,"Brian Olshansky, MD"
General Surgery,Waukon,Veterans Memorial Hospital - Waukon,PRN,Gundersen Medical Clinic - Decorah,Decorah,"Michael Francis LaBelle, MD"
General Surgery,Waukon,Veterans Memorial Hospital - Waukon,2/WK,Gundersen Medical Clinic - Decorah,Decorah,"Phillip Seto Yee, MD"
Ophthalmology,Waukon,Veterans Memorial Hospital - Waukon,1/MO,Gundersen Health System Ophthalmology,"La Crosse, WI","Robert Orman Funk, MD"
Ophthalmology,Waverly,Pollastrini & Bollman Eye Care,2/MO,Cedar Valley Med Spec - Eye Care,Waterloo,"Michael J Puk, MD"
Cardiovascular Disease,Waverly,Waverly Health Center,1/WK,UnityPoint Allen Cardiovascular Center,Waterloo,"Khalil Ibrahim Anouti, MD"
Cardiovascular Disease,Waverly,Waverly Health Center,PRN,UnityPoint Allen Cardiovascular Center,Waterloo,"Joud Ghassoub Dib, MD"
Cardiovascular Disease,Waverly,Waverly Health Center,1/WK,MercyOne Clinic Cardiology - Waterloo,Waterloo,"Ahsan Maqsood, MD"
Dermatology,Waverly,Waverly Health Center,2/WK,Premier Dermatology,Waterloo,"Justin Craig Ellerbroek, MD"
Nephrology,Waverly,Waverly Health Center,2/MO,Cedar Valley Med Spec - Neph/Rheum,Waterloo,"Tarek M Daoud, MD"
Neurology,Waverly,Waverly Health Center,2/MO,Cedar Valley Med Spec - Neurology,Waterloo,"Ivo Bekavac, MD"
Orthopaedic Surgery,Waverly,Waverly Health Center,3+/WK,Cedar Valley Med Spec - Ortho (W Dale),Waterloo,"Robert Boyd Bartelt, MD"
Orthopaedic Surgery,Waverly,Waverly Health Center,1/WK,Cedar Valley Med Spec - Ortho Cedar Falls,Cedar Falls,"Jeffrey A Clark, DO"
Otolaryngology,Waverly,Waverly Health Center,1/MO,Cedar Valley Med Spec - ENT,Waterloo,"Kenny David Rodriguez, MD"
Pain Medicine Anes,Waverly,Waverly Health Center,1/WK,Cedar Valley Med Spec - Pain Clinic,Waterloo,"Ashar Afzal, MD"
Pulmonary Disease,Waverly,Waverly Health Center,2/MO,MercyOne Clinic Pulmonology - Waterloo,Waterloo,"David M Visokey, DO"
Urology,Waverly,Waverly Health Center,2/MO,Mason City Clinic PC,Mason City,"Christopher Edelen Adams, MD"
Urology,Waverly,Waverly Health Center,2/MO,Mason City Clinic PC,Mason City,"Timothy L Mulholland, MD"
Allergy & Immunology,Webster City,McFarland Clinic - Webster City,1/WK,McFarland Clinic - Duff Ave,Ames,"Edward G Nassif, MD"
Cardiovascular Disease,Webster City,McFarland Clinic - Webster City,2/MO,McFarland Clinic - Mary Greeley,Ames,"Stuart D Christenson, MD"
Nephrology,Webster City,McFarland Clinic - Webster City,1/MO,McFarland Clinic - Medical Arts Building,Ames,"Lavanya Amuluru, MD"
Cardiovascular Disease,Webster City,Van Diest Medical Center,1/MO,Iowa Heart Center - Fort Dodge,Fort Dodge,"Kasaish Makam, MD"
Ophthalmology,Webster City,Van Diest Medical Center,1/MO,Wolfe Eye Clinic - Ames,Ames,"Steven Oscar Anderson, MD"
Orthopaedic Surgery,Webster City,Van Diest Medical Center,2/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Brett David Rosenthal, MD"
Orthopaedic Surgery,Webster City,Van Diest Medical Center,2/MO,Iowa Orthopaedic Center - Des Moines,Des Moines,"Scott M Shumway, MD"
Neurology,West Union,Gundersen Palmer Clinic - West Union,1/MO,Gundersen Medical Center,"La Crosse, WI","Rachel A Biemiller, MD"
Obstetrics & Gynecology,West Union,Gundersen Palmer Clinic - West Union,1/MO,Gundersen Medical Center,"La Crosse, WI","Heather Beth Riese, MD"
Orthopaedic Surgery,West Union,Gundersen Palmer Clinic - West Union,2/MO,Cedar Valley Med Spec - OrthoAgility Center,Cedar Falls,"Benjamin Lee Torrez, DO"
Cardiovascular Disease,Winterset,Madison County Mem Hospital,1/MO,Iowa Heart Center - West Des Moines,West Des Moines,"Michael C Fraizer, MD"
Cardiovascular Disease,Winterset,Madison County Mem Hospital,1/MO,Iowa Heart Center - West Des Moines,West Des Moines,"Matthew Philip McCormick, MD"
General Surgery,Winterset,Madison County Mem Hospital,2/WK,Madison County Mem Hospital,Winterset,"Paul Allen Grossmann, MD"
Medical Oncology,Winterset,Madison County Mem Hospital,1/MO,Mission Cancer + Blood - MercyOne Des Moines,Des Moines,"Abdelaziz Mohamed Ibrahim Elhaddad, MD"
Otolaryngology,Winterset,Madison County Mem Hospital,2/MO,Iowa ENT Center - West Des Moines,West Des Moines,"Simon K Wright, MD"
Pain Medicine Anes,Winterset,Madison County Mem Hospital,2/MO,Medical Center Anesthesiologists,Des Moines,"Daniel Wescott Moyse, MD"
Urology,Winterset,Madison County Mem Hospital,1/MO,Iowa Clinic Urology,Urbandale,"Steven J Rosenberg, MD"
